"DonorName","RequestYear","highP20","commitment_value","disbursement_value","commitment_value_total","disbursement_value_total","share_commitments"
"Canada",2001,"regional aid",166.694477106,166.694477106,1556.23672081496,1556.23672081496,0.107113830997836
"Canada",2001,"other countries",914.29494964434,914.29494964434,1556.23672081496,1556.23672081496,0.587503775881568
"Canada",2001,"high P20 headcounts",475.247294064623,475.247294064623,1556.23672081496,1556.23672081496,0.305382393120597
"Canada",2002,"regional aid",417.38616052,417.38616052,2478.1914856936,2478.1914856936,0.168423692410186
"Canada",2002,"other countries",1428.6280005475,1428.6280005475,2478.1914856936,2478.1914856936,0.576480069758473
"Canada",2002,"high P20 headcounts",632.1773246261,632.1773246261,2478.1914856936,2478.1914856936,0.255096237831341
"Canada",2003,"regional aid",562.710464791959,562.710464791959,2118.71647827346,2118.71647827346,0.265590262105533
"Canada",2003,"other countries",721.8647080652,721.8647080652,2118.71647827346,2118.71647827346,0.340708497558601
"Canada",2003,"high P20 headcounts",834.1413054163,834.1413054163,2118.71647827346,2118.71647827346,0.393701240335867
"Canada",2004,"regional aid",392.125086495,392.125086495,2754.62624829325,2754.62624829325,0.142351466641966
"Canada",2004,"other countries",1264.83470566125,1264.83470566125,2754.62624829325,2754.62624829325,0.459167448377048
"Canada",2004,"high P20 headcounts",1097.666456137,1097.666456137,2754.62624829325,2754.62624829325,0.398481084980987
"Canada",2005,"regional aid",444.1793060634,444.1793060634,2914.54869023902,2914.54869023902,0.152400715606838
"Canada",2005,"other countries",1651.66693434672,1651.66693434672,2914.54869023902,2914.54869023902,0.566697320884788
"Canada",2005,"high P20 headcounts",818.7024498289,818.7024498289,2914.54869023902,2914.54869023902,0.280901963508374
"Canada",2006,"regional aid",312.169342238,312.169342238,2447.38351341346,2447.38351341346,0.127552277984665
"Canada",2006,"other countries",1059.47984464346,1059.47984464346,2447.38351341346,2447.38351341346,0.432903073358438
"Canada",2006,"high P20 headcounts",1075.734326532,1075.734326532,2447.38351341346,2447.38351341346,0.439544648656896
"Canada",2007,"regional aid",1121.7497892942,1121.7497892942,3053.838957955,3053.838957955,0.367324474125308
"Canada",2007,"other countries",1270.9434609678,1270.9434609678,3053.838957955,3053.838957955,0.416178940168766
"Canada",2007,"high P20 headcounts",661.145707693,661.145707693,3053.838957955,3053.838957955,0.216496585705926
"Canada",2008,"regional aid",1038.6807365476,1038.6807365476,3264.03104401149,3264.03104401149,0.318220238270486
"Canada",2008,"other countries",955.62315126609,955.62315126609,3264.03104401149,3264.03104401149,0.292773916173184
"Canada",2008,"high P20 headcounts",1269.7271561978,1269.7271561978,3264.03104401149,3264.03104401149,0.38900584555633
"Canada",2009,"regional aid",1241.3601264341,1241.3601264341,3614.58862747915,3614.58862747915,0.343430540614476
"Canada",2009,"other countries",1025.11794802695,1025.11794802695,3614.58862747915,3614.58862747915,0.283605702799402
"Canada",2009,"high P20 headcounts",1348.1105530181,1348.1105530181,3614.58862747915,3614.58862747915,0.372963756586122
"Canada",2010,"regional aid",778.7271482243,778.7271482243,3200.9982243061,3200.9982243061,0.243276344957395
"Canada",2010,"other countries",1234.1687595048,1234.1687595048,3200.9982243061,3200.9982243061,0.385557464585079
"Canada",2010,"high P20 headcounts",1188.102316577,1188.102316577,3200.9982243061,3200.9982243061,0.371166190457526
"Canada",2011,"regional aid",1043.388818387,1043.388818387,3319.0500822556,3319.0500822556,0.314363686153817
"Canada",2011,"other countries",1064.905958086,1064.905958086,3319.0500822556,3319.0500822556,0.32084660722031
"Canada",2011,"high P20 headcounts",1210.7553057826,1210.7553057826,3319.0500822556,3319.0500822556,0.364789706625873
